,0.3,0.6,1.0,1.4,1.8
potted plant,0.4725,0.4725,0.7200000000000001,0.7200000000000001,0.7200000000000001
bed,0.8098333333333333,0.8172500000000001,0.8412500000000002,0.8412500000000002,0.8219166666666666
dining table,0.478763447579583,0.8221357142857144,0.8625867647058824,0.8655809954751132,0.863787136066548
toilet,0.8408333333333333,0.8785000000000001,0.8434999999999999,0.8785000000000001,0.85775
tv,0.1623100666691083,0.2319026309606076,0.23690981460809718,0.22159015687226374,0.21732466057651925
laptop,0.3595710506424792,0.47379129286014543,0.5322609819121448,0.4891896389324962,0.5134112554112554
mouse,0.2723574683544304,0.4326616863110452,0.46913860450733313,0.4831833029977532,0.44634252804186997
remote,0.5816632653061227,0.6546000000000001,0.617475,0.6203035714285715,0.6198125000000001
cell phone,0.3281771677065236,0.35548056973985764,0.3544439174726268,0.35155279481208673,0.37013026045613967
microwave,0.5788333333333334,0.6255,0.675,0.5512499999999999,0.57
oven,0.3105312499999999,0.5454999999999999,0.6950000000000001,0.6054999999999999,0.7121666666666665
sink,0.03015,0.218875,0.3611014492753623,0.46565625000000016,0.37891219512195123
refrigerator,0.0,0.01076086956521739,0.0055,0.00825,0.012375
book,0.4187392199303964,0.4821617647058824,0.5260357142857144,0.5153846153846153,0.5222954545454546
clock,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
vase,0.0486520618556701,0.016675356506238855,0.033469230769230765,0.049359310336433135,0.05002492784992785
scissors,0.06699999999999999,0.1901818181818182,0.7168571428571431,0.38197368421052635,0.38949999999999996
teddy bear,0.2005401526717557,0.2824561403508772,0.2669831223628692,0.26166666666666666,0.26166666666666666
toothbrush,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
